ts_utc,day,sub_uid,label,equity_now,anchor,daily_pnl
2025-11-01 19:14:49,2025-11-01,302355261,302355261,436.30125993,432.35714772,3.94411221
2025-11-01 19:14:49,2025-11-01,260417078,260417078,438.47375301,432.71839743,5.75535558
2025-11-01 19:14:49,2025-11-01,253800120,253800120,439.91233382,432.71839743,7.19393639
2025-11-01 19:14:49,2025-11-01,152499802,152499802,441.35114582,434.87764318,6.47350264
2025-11-01 19:14:49,2025-11-01,152305682,152305682,441.35192506,435.95734618,5.39457888
2025-11-01 19:14:49,2025-11-01,152304954,152304954,441.35192664,434.52662721,6.82529943
2025-11-01 19:14:49,2025-11-01,65986659,65986659,440.99211134,433.80765585,7.18445549
2025-11-01 19:14:49,2025-11-01,65986592,65986592,441.35308451,433.80677185,7.54631266
2025-11-01 19:15:27,2025-11-01,302355261,302355261,458.28954808,432.35714772,25.93240036
2025-11-01 19:15:27,2025-11-01,260417078,260417078,457.56983616,432.71839743,24.85143873
2025-11-01 19:15:27,2025-11-01,253800120,253800120,456.84943412,432.71839743,24.13103669
2025-11-01 19:15:27,2025-11-01,152499802,152499802,456.85003194,434.87764318,21.97238876
2025-11-01 19:15:27,2025-11-01,152305682,152305682,457.92953792,435.95734618,21.97219174
2025-11-01 19:15:27,2025-11-01,152304954,152304954,459.01928047,434.52662721,24.49265326
2025-11-01 19:15:27,2025-11-01,65986659,65986659,457.94572810,433.80765585,24.13807225
2025-11-01 19:15:27,2025-11-01,65986592,65986592,457.94700340,433.80677185,24.14023155
2025-11-01 19:16:04,2025-11-01,302355261,302355261,441.05635913,432.35714772,8.69921141
2025-11-01 19:16:04,2025-11-01,260417078,260417078,438.53645394,432.71839743,5.81805651
2025-11-01 19:16:04,2025-11-01,253800120,253800120,437.44841585,432.71839743,4.73001842
2025-11-01 19:16:04,2025-11-01,152499802,152499802,437.45403181,434.87764318,2.57638863
2025-11-01 19:16:04,2025-11-01,152305682,152305682,434.21538572,435.95734618,-1.74196046
2025-11-01 19:16:04,2025-11-01,152304954,152304954,434.20986961,434.52662721,-0.31675760
2025-11-01 19:16:04,2025-11-01,65986659,65986659,437.09030785,433.80765585,3.28265200
2025-11-01 19:16:04,2025-11-01,65986592,65986592,436.72992848,433.80677185,2.92315663
2025-11-01 19:16:42,2025-11-01,302355261,302355261,431.32207649,432.35714772,-1.03507123
2025-11-01 19:16:42,2025-11-01,260417078,260417078,431.32208590,432.71839743,-1.39631153
2025-11-01 19:16:42,2025-11-01,253800120,253800120,431.32210693,432.71839743,-1.39629050
2025-11-01 19:16:42,2025-11-01,152499802,152499802,431.32240797,434.87764318,-3.55523521
2025-11-01 19:16:42,2025-11-01,152305682,152305682,431.68230681,435.95734618,-4.27503937
2025-11-01 19:16:42,2025-11-01,152304954,152304954,431.68062190,434.52662721,-2.84600531
2025-11-01 19:16:42,2025-11-01,65986659,65986659,431.68049822,433.80765585,-2.12715763
2025-11-01 19:16:42,2025-11-01,65986592,65986592,433.48087967,433.80677185,-0.32589218
2025-11-01 19:17:20,2025-11-01,302355261,302355261,437.42764405,432.35714772,5.07049633
2025-11-01 19:17:20,2025-11-01,260417078,260417078,436.34734768,432.71839743,3.62895025
2025-11-01 19:17:20,2025-11-01,253800120,253800120,435.62757432,432.71839743,2.90917689
2025-11-01 19:17:20,2025-11-01,152499802,152499802,435.63896137,434.87764318,0.76131819
2025-11-01 19:17:20,2025-11-01,152305682,152305682,435.63896073,435.95734618,-0.31838545
2025-11-01 19:17:20,2025-11-01,152304954,152304954,440.67603776,434.52662721,6.14941055
2025-11-01 19:17:20,2025-11-01,65986659,65986659,440.67633800,433.80765585,6.86868215
2025-11-01 19:17:20,2025-11-01,65986592,65986592,440.67633800,433.80677185,6.86956615
2025-11-01 19:17:57,2025-11-01,302355261,302355261,428.43607621,432.35714772,-3.92107151
2025-11-01 19:17:57,2025-11-01,260417078,260417078,427.35597763,432.71839743,-5.36241980
2025-11-01 19:17:57,2025-11-01,253800120,253800120,427.34093819,432.71839743,-5.37745924
2025-11-01 19:17:57,2025-11-01,152499802,152499802,429.14229348,434.87764318,-5.73534970
2025-11-01 19:17:57,2025-11-01,152305682,152305682,429.14229348,435.95734618,-6.81505270
2025-11-01 19:17:57,2025-11-01,152304954,152304954,429.50306589,434.52662721,-5.02356132
2025-11-01 19:17:57,2025-11-01,65986659,65986659,429.50293004,433.80765585,-4.30472581
2025-11-01 19:17:57,2025-11-01,65986592,65986592,430.58015478,433.80677185,-3.22661707
2025-11-01 19:18:35,2025-11-01,302355261,302355261,397.81357011,432.35714772,-34.54357761
2025-11-01 19:18:35,2025-11-01,260417078,260417078,398.89321848,432.71839743,-33.82517895
2025-11-01 19:18:35,2025-11-01,253800120,253800120,399.25279825,432.71839743,-33.46559918
2025-11-01 19:18:35,2025-11-01,152499802,152499802,399.25172833,434.87764318,-35.62591485
2025-11-01 19:18:35,2025-11-01,152305682,152305682,396.37654773,435.95734618,-39.58079845
2025-11-01 19:18:35,2025-11-01,152304954,152304954,396.01698978,434.52662721,-38.50963743
2025-11-01 19:18:35,2025-11-01,65986659,65986659,395.66023974,433.80765585,-38.14741611
2025-11-01 19:18:35,2025-11-01,65986592,65986592,394.94105614,433.80677185,-38.86571571
2025-11-01 19:19:13,2025-11-01,302355261,302355261,409.70447339,432.35714772,-22.65267433
2025-11-01 19:19:13,2025-11-01,260417078,260417078,403.94625300,432.71839743,-28.77214443
2025-11-01 19:19:13,2025-11-01,253800120,253800120,401.06714202,432.71839743,-31.65125541
2025-11-01 19:19:13,2025-11-01,152499802,152499802,396.74885759,434.87764318,-38.12878559
2025-11-01 19:19:13,2025-11-01,152305682,152305682,391.70965642,435.95734618,-44.24768976
2025-11-01 19:19:13,2025-11-01,152304954,152304954,391.71001322,434.52662721,-42.81661399
2025-11-01 19:19:13,2025-11-01,65986659,65986659,396.38943688,433.80765585,-37.41821897
2025-11-01 19:19:13,2025-11-01,65986592,65986592,394.61337403,433.80677185,-39.19339782
2025-11-01 19:19:50,2025-11-01,302355261,302355261,404.72115461,432.35714772,-27.63599311
2025-11-01 19:19:50,2025-11-01,260417078,260417078,404.72094647,432.71839743,-27.99745096
2025-11-01 19:19:50,2025-11-01,253800120,253800120,405.08227966,432.71839743,-27.63611777
2025-11-01 19:19:50,2025-11-01,152499802,152499802,404.36296254,434.87764318,-30.51468064
2025-11-01 19:19:50,2025-11-01,152305682,152305682,401.12415486,435.95734618,-34.83319132
2025-11-01 19:19:50,2025-11-01,152304954,152304954,400.76596893,434.52662721,-33.76065828
2025-11-01 19:19:50,2025-11-01,65986659,65986659,401.48612664,433.80765585,-32.32152921
2025-11-01 19:19:50,2025-11-01,65986592,65986592,401.12426763,433.80677185,-32.68250422
2025-11-01 19:20:28,2025-11-01,302355261,302355261,403.72619795,432.35714772,-28.63094977
2025-11-01 19:20:28,2025-11-01,260417078,260417078,400.84670830,432.71839743,-31.87168913
2025-11-01 19:20:28,2025-11-01,253800120,253800120,400.84655051,432.71839743,-31.87184692
2025-11-01 19:20:28,2025-11-01,152499802,152499802,397.96589133,434.87764318,-36.91175185
2025-11-01 19:20:28,2025-11-01,152305682,152305682,398.32648275,435.95734618,-37.63086343
2025-11-01 19:20:28,2025-11-01,152304954,152304954,398.32586509,434.52662721,-36.20076212
2025-11-01 19:20:28,2025-11-01,65986659,65986659,397.60609390,433.80765585,-36.20156195
2025-11-01 19:20:28,2025-11-01,65986592,65986592,397.24450407,433.80677185,-36.56226778
2025-11-01 19:21:05,2025-11-01,302355261,302355261,392.99638521,432.35714772,-39.36076251
2025-11-01 19:21:05,2025-11-01,260417078,260417078,393.35509726,432.71839743,-39.36330017
2025-11-01 19:21:05,2025-11-01,253800120,253800120,395.15717953,432.71839743,-37.56121790
2025-11-01 19:21:05,2025-11-01,152499802,152499802,392.98100969,434.87764318,-41.89663349
2025-11-01 19:21:05,2025-11-01,152305682,152305682,388.66210895,435.95734618,-47.29523723
2025-11-01 19:21:05,2025-11-01,152304954,152304954,388.66210895,434.52662721,-45.86451826
2025-11-01 19:21:05,2025-11-01,65986659,65986659,388.66377355,433.80765585,-45.14388230
2025-11-01 19:21:05,2025-11-01,65986592,65986592,388.66235676,433.80677185,-45.14441509
2025-11-01 19:21:43,2025-11-01,302355261,302355261,378.90773218,432.35714772,-53.44941554
2025-11-01 19:21:43,2025-11-01,260417078,260417078,378.18797638,432.71839743,-54.53042105
2025-11-01 19:21:43,2025-11-01,253800120,253800120,378.18797638,432.71839743,-54.53042105
2025-11-01 19:21:43,2025-11-01,152499802,152499802,379.26762538,434.87764318,-55.61001780
2025-11-01 19:21:43,2025-11-01,152305682,152305682,378.54765428,435.95734618,-57.40969190
2025-11-01 19:21:43,2025-11-01,152304954,152304954,381.06664802,434.52662721,-53.45997919
2025-11-01 19:21:43,2025-11-01,65986659,65986659,381.06664802,433.80765585,-52.74100783
2025-11-01 19:21:43,2025-11-01,65986592,65986592,380.70648283,433.80677185,-53.10028902
2025-11-01 19:22:21,2025-11-01,302355261,302355261,389.31373077,432.35714772,-43.04341695
2025-11-01 19:22:21,2025-11-01,260417078,260417078,389.31214684,432.71839743,-43.40625059
2025-11-01 19:22:21,2025-11-01,253800120,253800120,389.67203185,432.71839743,-43.04636558
2025-11-01 19:22:21,2025-11-01,152499802,152499802,390.02961119,434.87764318,-44.84803199
2025-11-01 19:22:21,2025-11-01,152305682,152305682,387.50837934,435.95734618,-48.44896684
2025-11-01 19:22:21,2025-11-01,152304954,152304954,387.86825131,434.52662721,-46.65837590
2025-11-01 19:22:21,2025-11-01,65986659,65986659,387.86825131,433.80765585,-45.93940454
2025-11-01 19:22:21,2025-11-01,65986592,65986592,387.86670787,433.80677185,-45.94006398
2025-11-01 19:22:58,2025-11-01,302355261,302355261,381.35669527,432.35714772,-51.00045245
2025-11-01 19:22:58,2025-11-01,260417078,260417078,381.35736682,432.71839743,-51.36103061
2025-11-01 19:22:58,2025-11-01,253800120,253800120,383.51660706,432.71839743,-49.20179037
2025-11-01 19:22:58,2025-11-01,152499802,152499802,383.51690504,434.87764318,-51.36073814
2025-11-01 19:22:58,2025-11-01,152305682,152305682,384.23696754,435.95734618,-51.72037864
2025-11-01 19:22:58,2025-11-01,152304954,152304954,385.67631356,434.52662721,-48.85031365
2025-11-01 19:22:58,2025-11-01,65986659,65986659,385.67631356,433.80765585,-48.13134229
2025-11-01 19:22:58,2025-11-01,65986592,65986592,385.67614406,433.80677185,-48.13062779
2025-11-01 19:23:36,2025-11-01,302355261,302355261,389.98324285,432.35714772,-42.37390487
2025-11-01 19:23:36,2025-11-01,260417078,260417078,388.54410511,432.71839743,-44.17429232
2025-11-01 19:23:36,2025-11-01,253800120,253800120,389.98369183,432.71839743,-42.73470560
2025-11-01 19:23:36,2025-11-01,152499802,152499802,389.98370141,434.87764318,-44.89394177
2025-11-01 19:23:36,2025-11-01,152305682,152305682,389.98370141,435.95734618,-45.97364477
2025-11-01 19:23:36,2025-11-01,152304954,152304954,389.98349174,434.52662721,-44.54313547
2025-11-01 19:23:36,2025-11-01,65986659,65986659,389.98348890,433.80765585,-43.82416695
2025-11-01 19:23:36,2025-11-01,65986592,65986592,389.98307807,433.80677185,-43.82369378
2025-11-01 19:24:14,2025-11-01,302355261,302355261,394.70241547,432.35714772,-37.65473225
2025-11-01 19:24:14,2025-11-01,260417078,260417078,391.46344027,432.71839743,-41.25495716
2025-11-01 19:24:14,2025-11-01,253800120,253800120,391.46420018,432.71839743,-41.25419725
2025-11-01 19:24:14,2025-11-01,152499802,152499802,391.46420033,434.87764318,-43.41344285
2025-11-01 19:24:14,2025-11-01,152305682,152305682,391.46277272,435.95734618,-44.49457346
2025-11-01 19:24:14,2025-11-01,152304954,152304954,391.10288884,434.52662721,-43.42373837
2025-11-01 19:24:14,2025-11-01,65986659,65986659,388.22418791,433.80765585,-45.58346794
2025-11-01 19:24:14,2025-11-01,65986592,65986592,388.58522839,433.80677185,-45.22154346
2025-11-01 19:24:51,2025-11-01,302355261,302355261,414.88772708,432.35714772,-17.46942064
2025-11-01 19:24:51,2025-11-01,260417078,260417078,413.80725855,432.71839743,-18.91113888
2025-11-01 19:24:51,2025-11-01,253800120,253800120,413.80643296,432.71839743,-18.91196447
2025-11-01 19:24:51,2025-11-01,152499802,152499802,417.40689087,434.87764318,-17.47075231
2025-11-01 19:24:51,2025-11-01,152305682,152305682,414.88760970,435.95734618,-21.06973648
2025-11-01 19:24:51,2025-11-01,152304954,152304954,415.24750710,434.52662721,-19.27912011
2025-11-01 19:24:51,2025-11-01,65986659,65986659,413.44801837,433.80765585,-20.35963748
2025-11-01 19:24:51,2025-11-01,65986592,65986592,413.44801837,433.80677185,-20.35875348
2025-11-01 19:25:29,2025-11-01,302355261,302355261,412.78119734,432.35714772,-19.57595038
2025-11-01 19:25:29,2025-11-01,260417078,260417078,412.78140287,432.71839743,-19.93699456
2025-11-01 19:25:29,2025-11-01,253800120,253800120,418.17920322,432.71839743,-14.53919421
2025-11-01 19:25:29,2025-11-01,152499802,152499802,418.17890218,434.87764318,-16.69874100
2025-11-01 19:25:29,2025-11-01,152305682,152305682,417.45881034,435.95734618,-18.49853584
2025-11-01 19:25:29,2025-11-01,152304954,152304954,417.45958207,434.52662721,-17.06704514
2025-11-01 19:25:29,2025-11-01,65986659,65986659,424.65704632,433.80765585,-9.15060953
2025-11-01 19:25:29,2025-11-01,65986592,65986592,425.37685404,433.80677185,-8.42991781
