ts,link,symbol,account,class,edge_prob,prior_win_p
1762777704987,B44-BTCUSDT-1762777696-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777705168,B44-ETHUSDT-1762777697-L|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777705348,B44-BTCUSDT-1762777697-S|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777705528,B44-BTCUSDT-1762777698-S|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783509512,B44-ETHUSDT-1762783508-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783510411,B44-BTCUSDT-1762783508-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783511312,B44-ETHUSDT-1762783509-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783512263,B44-BTCUSDT-1762783509-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783513189,B44-ETHUSDT-1762783510-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783514167,B44-BTCUSDT-1762783511-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783515171,B44-BTCUSDT-1762783511-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783516112,B44-BTCUSDT-1762783514-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783516280,B44-ETHUSDT-1762783514-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783517235,B44-BTCUSDT-1762783515-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783518126,B44-ETHUSDT-1762783515-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783519074,B44-BTCUSDT-1762783516-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783520072,B44-ETHUSDT-1762783516-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783520963,B44-BTCUSDT-1762783518-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783521816,B44-ETHUSDT-1762783518-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783522691,B44-BTCUSDT-1762783518-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783523589,B44-BTCUSDT-1762783519-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783523770,B44-BTCUSDT-1762783519-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783524676,B44-BTCUSDT-1762783520-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783525573,B44-ETHUSDT-1762783520-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783530737,B44-BTCUSDT-1762783524-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783531766,B44-ETHUSDT-1762783524-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783532656,B44-ETHUSDT-1762783525-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
