timestamp,date,accountType,equity,walletBalance,unrealizedPnl,realizedPnl,openSymbols,positionCount
2025-11-02T03:21:31.431048+00:00,2025-11-02,UNIFIED,117.7528,0.0000,0.0000,,JELLYJELLYUSDT,1
2025-11-02T03:22:04.954031+00:00,2025-11-02,UNIFIED,91.9089,0.0000,0.0000,,JELLYJELLYUSDT,1
2025-11-02T03:22:38.381948+00:00,2025-11-02,UNIFIED,92.6570,0.0000,0.0000,,JELLYJELLYUSDT,1
2025-11-02T19:34:33.469224+00:00,2025-11-02,UNIFIED,3.6260,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:35:07.082261+00:00,2025-11-02,UNIFIED,3.6693,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:35:40.570655+00:00,2025-11-02,UNIFIED,3.5823,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:36:13.867647+00:00,2025-11-02,UNIFIED,3.8896,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:36:47.483211+00:00,2025-11-02,UNIFIED,3.7975,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:37:20.758446+00:00,2025-11-02,UNIFIED,4.3717,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:37:54.331452+00:00,2025-11-02,UNIFIED,4.4600,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:38:27.806412+00:00,2025-11-02,UNIFIED,4.5050,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:39:01.247562+00:00,2025-11-02,UNIFIED,4.2868,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:39:34.551469+00:00,2025-11-02,UNIFIED,3.9333,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:40:08.208050+00:00,2025-11-02,UNIFIED,3.8885,0.0000,0.0000,,PUMPFUNUSDT,1
2025-11-02T19:40:41.401246+00:00,2025-11-02,UNIFIED,3.9389,0.0000,0.0000,,,0
2025-11-02T19:41:15.136217+00:00,2025-11-02,UNIFIED,3.9395,0.0000,0.0000,,,0
2025-11-02T19:41:48.865868+00:00,2025-11-02,UNIFIED,3.9382,0.0000,0.0000,,,0
2025-11-02T19:42:22.244161+00:00,2025-11-02,UNIFIED,3.7883,0.0000,0.0000,,VIRTUALUSDT,1
2025-11-02T19:42:55.731587+00:00,2025-11-02,UNIFIED,3.6041,0.0000,0.0000,,VIRTUALUSDT,1
2025-11-02T19:43:29.094587+00:00,2025-11-02,UNIFIED,3.4955,0.0000,0.0000,,VIRTUALUSDT,1
